YEAR,CATEGORY,TITLE,NOMINEES,STATUS OR POSITION,SCENE NAME
1998,Top Ten,`,,1,
1998,Top Ten,`,,2,
1998,Top Ten,`,,3,
1998,Top Ten,`,,4,
1998,Top Ten,`,,5,
1998,Top Ten,`,,6,
1998,Top Ten,`,,7,
1998,Top Ten,`,,8,
1998,Top Ten,`,,9,
1998,Top Ten,`,,10,
1998,Top Ten,`,,10,
1998,Top Ten,`,,12,
1998,Top Ten,`,,13,
1998,Top Ten,`,,14,
1998,Top Ten,`,,15,
1998,Best Picture,Pi,,0,
1998,Best Picture,American History X,,0,
1998,Best Picture,Rushmore,,0,
1998,Best Picture,Saving Private Ryan,,1,
1998,Best Picture,The Thin Red Line,,0,
1998,Best Actor,The Big Lebowski,Jeff Bridges,0,
1998,Best Actor,The Truman Show,Jim Carrey,0,
1998,Best Actor,Saving Private Ryan,Tom Hanks,0,
1998,Best Actor,Affliction,Nick Nolte,0,
1998,Best Actor,American History X,Edward Norton,1,
1998,Best Actress,Elizabeth,Cate Blanchett,0,
1998,Best Actress,Little Voice,Brenda Blethyn,0,
1998,Best Actress,Celebrity,Judy Davis,0,
1998,Best Actress,Little Voice,Jane Horrocks,0,
1998,Best Actress,Shakespeare in Love,Gwyneth Paltrow,1,
1998,Best Supporting Actor,Affliction,James Coburn,0,
1998,Best Supporting Actor,Saving Private Ryan,Jeremy Davies,1,
1998,Best Supporting Actor,The Big Lebowski,John Goodman,0,
1998,Best Supporting Actor,Wag the Dog,Dustin Hoffman,0,
1998,Best Supporting Actor,Rushmore,Bill Murray,0,
1998,Best Supporting Actor,The Thin Red Line,Nick Nolte,0,
1998,Best Supporting Actress,Buffalo '66,Anjelica Huston,1,
1998,Best Supporting Actress,The Truman Show,Laura Linney,0,
1998,Best Supporting Actress,Gods and Monsters,Lynn Redgrave,0,
1998,Best Supporting Actress,Buffalo '66,Christina Ricci,0,
1998,Best Supporting Actress,Affliction,Sissy Spacek,0,
1998,Best Director,Rushmore,Wes Anderson,0,
1998,Best Director,Pi,Darren Aronofsky,0,
1998,Best Director,Buffalo '66,Vincent Gallo,0,
1998,Best Director,The Thin Red Line,Terrence Malick,0,
1998,Best Director,Saving Private Ryan,Steven Spielberg,1,
1998,Best Director,The Truman Show,Peter Weir,0,
1998,Best Cinematography,Pi,Matthew Libatique,0,
1998,Best Cinematography,American History X,Tony Kaye,0,
1998,Best Cinematography,Buffalo '66,Lance Acord,0,
1998,Best Cinematography,Rushmore,Robert D. Yeoman,0,
1998,Best Cinematography,Saving Private Ryan,Janusz Kaminski,1,
1998,Best Cinematography,The Thin Red Line,John Toll,0,
1998,Best Original Screenplay,Pi,Darren Aronofsky,0,
1998,Best Original Screenplay,Buffalo '66,Vincent Gallo|Alison Bagnall,0,
1998,Best Original Screenplay,Henry Fool,Hal Hartly,0,
1998,Best Original Screenplay,Rushmore,Wes Anderson|Owen Wilson,1,
1998,Best Original Screenplay,The Truman Show,Andrew Niccol,0,
1998,Best Adapted Screenplay,Affliction,Paul Schrader,0,
1998,Best Adapted Screenplay,Primary Colors,Elaine May,0,
1998,Best Adapted Screenplay,A Simple Plan,Scott B. Smith,0,
1998,Best Adapted Screenplay,The Thin Red Line,Terrence Malick,1,
1998,Best Adapted Screenplay,Wag the Dog,Hilary Henkin|David Mamet,0,
1998,Best Foreign Language Film,The Celebration,,0,
1998,Best Foreign Language Film,Central Station,,0,
1998,Best Foreign Language Film,Character,,0,
1998,Best Foreign Language Film,Life is Beautiful,,1,
1998,Worst Picture,Alien Resurrection,,0,
1998,Worst Picture,Fear and Loathing in Las Vegas,,0,
1998,Worst Picture,Godzilla,,1,
1998,Worst Picture,Happiness,,0,
1998,Worst Picture,Snake Eyes,,0,
1998,Worst Picture,Velvet Goldmine,,0,
